,entities,context_annotations,source,geo,conversation_id,public_metrics,text,id,lang,created_at,possibly_sensitive,author_id,reply_settings,attachments,referenced_tweets,in_reply_to_user_id
10,"{'mentions': [{'start': 0, 'end': 15, 'username': 'CuomoPrimeTime', 'id': '902725445334044677'}, {'start': 16, 'end': 27, 'username': 'ChrisCuomo', 'id': '22799750'}]}",,Twitter for iPhone,{'place_id': '756059b9675acdae'},1306415231082561537,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@CuomoPrimeTime @ChrisCuomo How is it you never talk about your brother committing murder of thousands of senior citizens! And being accused of sexual assault! Glass houses you talk out of your ass night after night,1306444232723492864,en,2020-09-17T04:05:52.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1306415231082561537'}]",902725445334044677
11,"{'mentions': [{'start': 0, 'end': 12, 'username': 'JulieDiCaro', 'id': '28565368'}, {'start': 13, 'end': 22, 'username': 'mdesisti', 'id': '15053533'}], 'annotations': [{'start': 84, 'end': 100, 'probability': 0.3504, 'type': 'Place', 'normalized_text': 'Ferguson, Atlanta'}, {'start': 103, 'end': 116, 'probability': 0.9878, 'type': 'Person', 'normalized_text': 'Trayvon Martin'}, {'start': 126, 'end': 128, 'probability': 0.901, 'type': 'Other', 'normalized_text': 'God'}]}","[{'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '1204161179821600768', 'name': 'Lacrosse'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1297932923128164353,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}","@JulieDiCaro @mdesisti Amazing you know  the facts! I’m sure you do the same fax in Ferguson, Atlanta, Trayvon Martin,, Thank God you weren’t reporting Duke lacrosse He had an active felony arrest warrant for 3rd degree sexual assault with a domestic abuse modifier, and tried reaching into his vehicle.",1297942209854091264,en,2020-08-24T17:01:52.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1297932923128164353'}]",28565368
12,"{'mentions': [{'start': 0, 'end': 9, 'username': 'JoeBiden', 'id': '939091'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1297936455986290693,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@JoeBiden He had an active felony arrest warrant for 3rd degree sexual assault with a domestic abuse modifier, and tried reaching into his vehicle.",1297941497174724614,en,2020-08-24T16:59:02.000Z,False,940983101521620993,everyone,,"[{'type': 'replied_to', 'id': '1297936455986290693'}]",939091
13,"{'mentions': [{'start': 0, 'end': 14, 'username': 'brian_family2', 'id': '4739920993'}, {'start': 15, 'end': 26, 'username': 'Jim_Jordan', 'id': '18166778'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}]",Twitter for Android,{'place_id': '004e2b299a1fb473'},1284164965440598018,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@brian_family2 @Jim_Jordan Things college wrestlers want:
some support when they make a claim of sexual assault",1284567561900703745,en,2020-07-18T19:15:47.000Z,False,477382009,everyone,,"[{'type': 'replied_to', 'id': '1284530427689132032'}]",4739920993
14,,,Twitter for Android,{'place_id': '004e2b299a1fb473'},1275469716627341315,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Can we talk about how survivors of sexual assault sometimes don't realize they were assaulted until weeks/months/even years later and that it doesn't make it less valid?? Sometimes your brain doesn't even know how to process it initially 😪,1275469716627341315,en,2020-06-23T16:44:12.000Z,False,1205342163409809410,everyone,,,
15,"{'annotations': [{'start': 41, 'end': 45, 'probability': 0.992, 'type': 'Person', 'normalized_text': 'Biden'}, {'start': 143, 'end': 147, 'probability': 0.9857, 'type': 'Person', 'normalized_text': 'BIDEN'}, {'start': 232, 'end': 238, 'probability': 0.9531, 'type': 'Person', 'normalized_text': 'C. Ford'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'morningmika', 'id': '18227519'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026287953', 'name': 'Ford'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10046942598', 'name': 'Ford Latino'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1256197629211533313,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@morningmika What an shitty interview w/ Biden! As a sexual assault detective for 18 years,u would make a lousy interviewer. How many X’s does BIDEN have to say “It never happened!” Victims do not wait 27 years to report an assault.C. Ford was sought out;did not WANT publicity.",1256197629211533313,en,2020-05-01T12:23:48.000Z,False,395700994,everyone,,,18227519
16,"{'annotations': [{'start': 13, 'end': 16, 'probability': 0.6077, 'type': 'Person', 'normalized_text': 'MIKA'}, {'start': 131, 'end': 135, 'probability': 0.9828, 'type': 'Person', 'normalized_text': 'Biden'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'Morning_Joe', 'id': '254117355'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}]",Twitter for iPhone,{'place_id': '756059b9675acdae'},1256195967025590272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@Morning_Joe MIKA: You would make a terrible sexual assault investigator! The burden of proof is on the accuser! Being FOX-like w/ Biden does not make u a feminist! Twenty-seven years late? The statute of limitations has run out 20 yrs ago! Uncross you’re arms, sister u lost me!",1256195967025590272,en,2020-05-01T12:17:12.000Z,False,395700994,everyone,,,254117355
17,"{'urls': [{'start': 275, 'end': 298, 'url': 'https://t.co/qLOmmI6ZAa', 'expanded_url': 'https://twitter.com/CephAllyPod/status/1227709207719432193', 'display_url': 'twitter.com/CephAllyPod/st…'}]}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '920758761370746880', 'name': 'Counseling and psychotherapy', 'description': 'Counseling & Psychotherapy'}}]",Twitter for Android,{'place_id': '004e2b299a1fb473'},1227731797976526849,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Destigmatizing mental illness:

Hi I'm Ian! I have generalized anxiety disorder (GAD) with panic attacks, ADD (Executive Dysfunction), Major Depressive Disorder (MDD), and have a history of trauma around relationships, abandonment, sexual assault, and insurance/bureaucracy. https://t.co/qLOmmI6ZAa",1227731797976526849,en,2020-02-12T23:10:45.000Z,False,85658675,everyone,,"[{'type': 'quoted', 'id': '1227709207719432193'}]",
18,"{'annotations': [{'start': 37, 'end': 45, 'probability': 0.9108, 'type': 'Place', 'normalized_text': 'Wisconsin'}], 'urls': [{'start': 128, 'end': 151, 'url': 'https://t.co/WyCTfq90wh', 'expanded_url': 'https://twitter.com/jenniferkliese/status/1225110372346220547/photo/1', 'display_url': 'pic.twitter.com/WyCTfq90wh'}], 'hashtags': [{'start': 122, 'end': 127, 'tag': 'WKOW'}]}",,Twitter for Android,{'place_id': '07d9f5bc6e086003'},1225110372346220547,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Lawmakers explain measures to revamp Wisconsin's sexual assault kit testing process after massive backlog in recent years #WKOW https://t.co/WyCTfq90wh,1225110372346220547,en,2020-02-05T17:34:08.000Z,False,316142794,everyone,{'media_keys': ['3_1225110364498489344']},,
19,"{'mentions': [{'start': 0, 'end': 11, 'username': 'Dangchick1', 'id': '751031312648171520'}, {'start': 12, 'end': 23, 'username': 'Jim_Jordan', 'id': '18166778'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Home & family', 'description': 'Hobbies and interests'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '872553326499422208', 'name': 'Fitness', 'description': 'Fitness'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '872554146750017536', 'name': 'Exercises', 'description': 'Exercises'}}]",Twitter for Android,{'place_id': '004e2b299a1fb473'},1204827562888839179,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Dangchick1 @Jim_Jordan 
Gym, all you'll be remembered for is that dude who turned a blind eye to reports of sexual assault.",1205099566900617217,en,2019-12-12T12:18:21.000Z,False,477382009,everyone,,"[{'type': 'replied_to', 'id': '1204827562888839179'}]",751031312648171520
20,"{'annotations': [{'start': 4, 'end': 18, 'probability': 0.8739, 'type': 'Organization', 'normalized_text': 'WI State Senate'}], 'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/wG977AQszC', 'expanded_url': 'https://twitter.com/victorjacobo_/status/1181606324930527232/photo/1', 'display_url': 'pic.twitter.com/wG977AQszC'}], 'mentions': [{'start': 101, 'end': 110, 'username': 'GovEvers', 'id': '234896532'}]}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1037076317722763265', 'name': 'Insurance', 'description': 'Insurance'}}]",Twitter for iPhone,{'place_id': '07d9f6f81bc83000'},1181606324930527232,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","The WI State Senate takes its class picture ahead of its floor session where it will vote on some of @GovEvers Cabinet picks, hemp regulation, sexual assault kit protocols, health insurance premiums payment for families of fallen officers, a lemonade stand bill and more. https://t.co/wG977AQszC",1181606324930527232,en,2019-10-08T16:24:35.000Z,False,231679195,everyone,{'media_keys': ['3_1181606319083675649']},,
21,"{'urls': [{'start': 245, 'end': 268, 'url': 'https://t.co/Sw7t1oQg1o', 'expanded_url': 'https://twitter.com/victorjacobo_/status/1159138135537676288/photo/1', 'display_url': 'pic.twitter.com/Sw7t1oQg1o'}], 'mentions': [{'start': 1, 'end': 11, 'username': 'SenTaylor', 'id': '54635428'}, {'start': 16, 'end': 30, 'username': 'ChrisTaylorWI', 'id': '524733591'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735157181603842', 'name': 'Lena Taylor', 'description': 'American politician'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735157181603842', 'name': 'Lena Taylor', 'description': 'American politician'}}]",Twitter for iPhone,{'place_id': '07d9f5bc6e086003'},1159138135537676288,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",.@SenTaylor and @ChrisTaylorWI introduce package of bills aimed at helping survivors of child sexual assault. One bill removes the statute of limitations to report child sex abuse and the other requires clergy to report child abuse and neglect. https://t.co/Sw7t1oQg1o,1159138135537676288,en,2019-08-07T16:24:01.000Z,False,231679195,everyone,{'media_keys': ['3_1159138126364733440']},,
22,"{'annotations': [{'start': 15, 'end': 19, 'probability': 0.7316, 'type': 'Person', 'normalized_text': 'Hagar'}], 'hashtags': [{'start': 199, 'end': 207, 'tag': 'GodSees'}], 'mentions': [{'start': 189, 'end': 198, 'username': 'tynylen7', 'id': '347431040'}]}",,Twitter for Android,{'place_id': '0fc304807d955000'},1142828307320385536,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","They looked at Hagar, the Egyptian slave, and said, ""Let's just use her."" 

Just because it was legal doesn't mean it wasn't sexual assault. 

Read the Bible. You can relate - trust me. 

~@tynylen7 #GodSees",1142828307320385536,en,2019-06-23T16:14:35.000Z,False,120135310,everyone,,,
23,"{'annotations': [{'start': 3, 'end': 11, 'probability': 0.9111, 'type': 'Person', 'normalized_text': 'Josh Kaul'}], 'urls': [{'start': 154, 'end': 177, 'url': 'https://t.co/INQxNbKkIZ', 'expanded_url': 'https://twitter.com/victorjacobo_/status/1118214019070951426/photo/1', 'display_url': 'pic.twitter.com/INQxNbKkIZ'}], 'mentions': [{'start': 14, 'end': 21, 'username': 'WisDOJ', 'id': '402147539'}]}",,Twitter for iPhone,{'place_id': '07d9f5bc6e086003'},1118214019070951426,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",AG Josh Kaul (@WisDOJ) and a bipartisan group of legislators present new legislation aimed at preventing future backlogs of untested sexual assault kits. https://t.co/INQxNbKkIZ,1118214019070951426,en,2019-04-16T18:06:12.000Z,False,231679195,everyone,{'media_keys': ['3_1118214011504463874']},,
24,"{'mentions': [{'start': 0, 'end': 15, 'username': 'BlairBraverman', 'id': '2271638589'}]}",,Twitter for Android,{'place_id': '756059b9675acdae'},1114663523383033856,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 27, 'quote_count': 0}","@BlairBraverman Wow, sexual assault is not funny.",1114663795106955265,en,2019-04-06T22:58:52.000Z,False,261939426,everyone,,"[{'type': 'replied_to', 'id': '1114663523383033856'}]",2271638589
